,bloque,grupo_corr,adf_pvalue,estacionaria,mi,mi_n_obs,granger_p,granger_p_fdr,granger_signif,lasso_abs,perm_imp,r_mi,r_lasso,r_perm,voto_granger,voto_mi,voto_lasso,voto_perm,votos,score
restricciones_sin_aliv_lag1,EXPOST,79,0.025012983163399664,True,0.4890515010414749,1825,1.0337326968310695e-06,4.2466856734681775e-06,True,0.0,-3.248268168561941e-05,0.569078947368421,0.4471947194719472,0.23102310231023102,1,0,0,0,1,0.4157655897168664
aportes_media_hist_lag30,HIDRO,22,0.03252143005214406,True,0.7781463950488696,1796,0.24823040694026619,0.3295285751521438,False,0.0,-0.00014159718021180545,0.7203947368421053,0.4471947194719472,0.07920792079207921,0,1,0,0,1,0.41559912570204394
disp_declarada_lag1,OFERTA,66,0.06560353155381017,False,0.4205508161720539,1825,0.002061234720040746,0.00564518337740889,True,0.0,-1.976639684959647e-05,0.5328947368421053,0.4471947194719472,0.264026402640264,1,0,0,0,1,0.4147052863181055
aportes_media_hist_lag2,HIDRO,19,0.031380723785825064,True,0.7441738459346716,1824,0.3494660236140566,0.44450908442959497,False,0.0,-0.00013373469824714545,0.7072368421052632,0.4471947194719472,0.0858085808580858,0,1,0,0,1,0.4134133808117653
aportes_media_hist_lag1,HIDRO,19,0.031340528181896816,True,0.7524870163005932,1825,0.6457593160782232,0.7164628908313134,False,0.0,-0.00014875073865104892,0.7105263157894737,0.4471947194719472,0.07260726072607261,0,1,0,0,1,0.41010943199583116
aportes_media_hist_lag14,HIDRO,21,0.03186599698850202,True,0.7821056132772881,1812,0.450030173486367,0.5344108310150608,False,0.0,-0.00021482846102165442,0.7236842105263158,0.4471947194719472,0.052805280528052806,0,1,0,0,1,0.40789473684210525
demanda_por_or_d7,DEMANDA,144,1.2325686566133271e-19,True,0.03362639138486134,1818,0.6618008503650417,0.7292616524677927,False,0.0,1.4826639827236754e-05,0.046052631578947366,0.4471947194719472,0.7161716171617162,0,0,0,1,1,0.40313965607087027
disp_comercial_lag14,OFERTA,69,0.09852270525941009,False,0.3231165739506592,1812,0.0073786321966744055,0.018089549901524348,True,0.0,-1.1955323321444223e-05,0.47368421052631576,0.4471947194719472,0.2871287128712871,1,0,0,0,1,0.40266921428985003
aportes_media_hist_lag3,HIDRO,19,0.031420957118408116,True,0.7363385528867616,1823,0.12013829503646974,0.19323831582585607,False,0.0,-0.0002344246374807235,0.7039473684210527,0.4471947194719472,0.04950495049504951,0,1,0,0,1,0.40021567946268316
perdidas_energia_lag30,EXPOST,93,2.535306825236244e-13,True,0.05739592073528055,1796,0.01029512468766834,0.025037743240409405,True,0.0,3.740607272317842e-06,0.0756578947368421,0.4471947194719472,0.6534653465346535,1,0,0,0,1,0.39210598691448095
disp_declarada_lag7,OFERTA,65,0.06616417727461625,False,0.3933820701049706,1819,3.9385218614845686e-07,1.7352328201323315e-06,True,0.0,-5.074128274458189e-05,0.5164473684210527,0.4471947194719472,0.17491749174917492,1,0,0,0,1,0.37951985988072495
aportes_por_rio_lag1,HIDRO,29,0.002242520952308734,True,0.3134911889330647,1825,3.618297233981013e-14,2.444360798067174e-13,True,0.0,-3.326164772811113e-05,0.45723684210526316,0.4471947194719472,0.22772277227722773,1,0,0,0,1,0.3773847779514794
disp_real_lag1,OFERTA,66,0.024321223459953537,True,0.3867641660320329,1825,0.00029395407950975455,0.0009406530544312146,True,0.0,-6.93270153596548e-05,0.5098684210526315,0.4471947194719472,0.132013201320132,1,0,0,0,1,0.3630254472815702
disp_real_lag30,OFERTA,68,0.022262725361718947,True,0.2883379025983004,1796,0.0011016201475889608,0.0032201204314138854,True,0.0,-3.66874508580306e-05,0.42105263157894735,0.4471947194719472,0.2079207920792079,1,0,0,0,1,0.35872271437670084
restricciones_lag1,EXPOST,79,0.10984360363000312,False,0.5127417407495196,1825,5.474258104879866e-07,2.279691046415725e-06,True,0.0,-0.0003132474729510504,0.5822368421052632,0.4471947194719472,0.0429042904290429,1,0,0,0,1,0.35744528400208436
consumo_combustible_lag30,EXPOST,83,0.20156788648793106,False,0.48892491539184846,1796,4.840938818518606e-10,2.7351436103711236e-09,True,0.0,-0.0003512013868873787,0.5657894736842105,0.4471947194719472,0.036303630363036306,1,0,0,0,1,0.34976260783973134
aportes_pct_rio_lag7,HIDRO,26,3.9246300488564335e-14,True,0.24927609200215173,1819,0.028418965672076107,0.05999559419660512,True,0.0,-3.3543606382080426e-05,0.3651315789473684,0.4471947194719472,0.22442244224422442,1,0,0,0,1,0.34558291355451337
volumen_util_pct_emb_d7,HIDRO,32,0.00037402944903626206,True,0.2961665962264348,1818,1.2919503822211034e-12,8.356445025430114e-12,True,0.0,-6.635704280214539e-05,0.4407894736842105,0.4471947194719472,0.1419141914191419,1,0,0,0,1,0.3432994615250999
restricciones_sin_aliv_lag3,EXPOST,78,0.024188494136070077,True,0.4541092304491938,1823,0.0002498999565398541,0.0008081870934905919,True,0.0,-0.00045257582515989547,0.5427631578947368,0.4471947194719472,0.0297029702970297,1,0,0,0,1,0.3398869492212379
importaciones_lag30,EXPOST,91,0.005884418821688145,True,0.2074954461576919,1693,0.03789222363757482,0.07578444727514964,True,0.0,-2.1175261194927852e-05,0.3157894736842105,0.4471947194719472,0.25412541254125415,1,0,0,0,1,0.3390365352324706
restricciones_lag3,EXPOST,78,0.10523788228704978,False,0.45819131542922165,1823,0.0006425318283978586,0.0019532967583294897,True,0.0,-0.0005581866258039137,0.5460526315789473,0.4471947194719472,0.019801980198019802,1,0,0,0,1,0.3376831104163048
disp_declarada_lag30,OFERTA,68,0.06153357173265307,False,0.2897164527849334,1796,0.0029320633744179584,0.007888028901089021,True,0.0,-6.860523980043443e-05,0.4276315789473684,0.4471947194719472,0.1353135313531353,1,0,0,0,1,0.33671327659081696
restricciones_sin_aliv_lag2,EXPOST,80,0.023543191747152564,True,0.47422642754910527,1824,6.24989982804242e-05,0.00021838730433619493,True,0.0,-0.001393514478911062,0.555921052631579,0.4471947194719472,0.006600660066006601,1,0,0,0,1,0.336572144056511
aportes_pct_sistema_lag7,HIDRO,26,2.521039696507462e-07,True,0.2289732133383353,1819,0.027728187785418627,0.05894663697040044,True,0.0,-6.40249831808104e-05,0.3355263157894737,0.4471947194719472,0.1485148514851485,1,0,0,0,1,0.3104119622488565
gen_fuera_merito_lag1,EXPOST,5,2.119345031025066e-05,True,0.17511732149428472,1825,0.0006817283540179313,0.0020519348477371397,True,0.0,-4.038494549414295e-05,0.27960526315789475,0.4471947194719472,0.19471947194719472,1,0,0,0,1,0.30717315152567887
gen_fuera_merito_lag30,EXPOST,100,2.5394088523053343e-05,True,0.12481270079506146,1796,0.0001791243034444325,0.0005918890026859508,True,0.0,-2.0537167305589853e-05,0.20394736842105263,0.4471947194719472,0.2607260726072607,1,0,0,0,1,0.30395605350008686
exportaciones_lag30,EXPOST,54,8.257054342010132e-06,True,0.25996828414344675,1682,0.00174391398534345,0.004863760105912007,True,0.0,-0.00017039845657551567,0.3881578947368421,0.4471947194719472,0.0627062706270627,1,0,0,0,1,0.29935296161195063
gen_por_recurso_lag1,EXPOST,114,6.211782413392183e-05,True,0.07136106189688363,1825,2.7153006467792196e-27,2.751504655402942e-26,True,0.0,-4.534827575275458e-06,0.09210526315789473,0.4471947194719472,0.35313531353135313,1,0,0,0,1,0.29747843205373165
gen_fuera_merito_lag2,EXPOST,3,2.2579048567869736e-05,True,0.17677573061645013,1824,0.0016091775511018309,0.004529536810508858,True,0.0,-6.138814244284196e-05,0.28289473684210525,0.4471947194719472,0.1551155115511551,1,0,0,0,1,0.2950683226217359
gen_seguridad_lag30,EXPOST,101,3.42509997959793e-09,True,0.11318489088474681,1796,0.0009252625864917735,0.002730872099936885,True,0.0,-2.4088439883251932e-05,0.18421052631578946,0.4471947194719472,0.24752475247524752,1,0,0,0,1,0.29297666608766143
compras_contrato_lag2,CONTRATOS,122,0.25228194406021676,False,0.22037265252071414,1824,8.739013689759214e-31,1.1550696355160004e-29,True,0.0,-8.541877948659016e-05,0.3256578947368421,0.4471947194719472,0.10561056105610561,1,0,0,0,1,0.2928210584216316
